,date,ticker,expected_returns
1972,2021-09-30,CINF,0.025254488
1973,2020-06-30,IEX,0.027970433
1974,2020-09-30,IEX,0.048133463
1975,2020-12-31,IEX,0.027814329
1976,2021-03-31,IEX,0.03128624
1977,2021-06-30,IEX,0.037898093
1978,2021-09-30,IEX,0.043400258
1979,2020-06-30,NVR,0.070883065
1980,2020-09-30,NVR,0.049381316
1981,2020-12-31,NVR,0.045320928
1982,2021-03-31,NVR,0.042910755
1983,2021-06-30,NVR,0.051003784
1984,2021-09-30,NVR,0.051003784
1985,2020-06-30,CMS,-0.0022358894
1986,2020-09-30,CMS,0.003273815
1987,2020-12-31,CMS,0.016751826
1988,2021-03-31,CMS,0.013171941
1989,2021-06-30,CMS,-0.012432039
1990,2021-09-30,CMS,0.027215302
1991,2020-06-30,RCL,-0.4529457
1992,2020-09-30,RCL,-0.30976427
1993,2020-12-31,RCL,-0.16136038
1994,2021-03-31,RCL,-0.22421968
1995,2021-06-30,RCL,-0.21680218
1996,2021-09-30,RCL,-0.1978988
1997,2020-06-30,MGM,-0.53962564
1998,2020-09-30,MGM,-0.70252407
1999,2020-12-31,MGM,-0.24143887
2000,2021-03-31,MGM,-0.32795155
2001,2021-06-30,MGM,-0.031297386
2002,2021-09-30,MGM,-0.014005482
2003,2020-06-30,CTRA,-0.051954508
2004,2020-09-30,CTRA,-0.045252085
2005,2020-12-31,CTRA,-0.029269814
2006,2021-03-31,CTRA,-0.083241284
2007,2021-06-30,CTRA,-0.11180192
2008,2021-09-30,CTRA,-0.060190856
2009,2020-06-30,TXT,-0.017730355
2010,2020-09-30,TXT,0.0032999218
2011,2020-12-31,TXT,0.010982692
2012,2021-03-31,TXT,0.014738739
2013,2021-06-30,TXT,0.021391898
2014,2021-09-30,TXT,0.01976943
2015,2020-06-30,QRVO,0.018731803
2016,2020-09-30,QRVO,0.022401035
2017,2020-12-31,QRVO,0.027191758
2018,2021-03-31,QRVO,0.036017448
2019,2021-06-30,QRVO,0.049919188
2020,2021-09-30,QRVO,0.058519274
2021,2020-06-30,MAS,-0.0077914
2022,2020-09-30,MAS,0.00948149
2023,2020-12-31,MAS,0.008575171
2024,2021-03-31,MAS,0.0031087399
2025,2021-06-30,MAS,-0.003556013
2026,2021-09-30,MAS,0.0060047507
2027,2020-06-30,JBHT,0.042384714
2028,2020-09-30,JBHT,0.043451667
2029,2020-12-31,JBHT,0.046501696
2030,2021-03-31,JBHT,0.046823025
2031,2021-06-30,JBHT,0.04478714
2032,2021-09-30,JBHT,0.04748711
2033,2020-06-30,PWR,0.003949642
2034,2020-09-30,PWR,0.0044190586
2035,2020-12-31,PWR,0.024797231
2036,2021-03-31,PWR,0.01552403
2037,2021-06-30,PWR,0.025655687
2038,2021-09-30,PWR,0.031249106
2039,2020-06-30,BXP,0.0058998168
2040,2020-09-30,BXP,0.035478234
2041,2020-12-31,BXP,-0.014831364
2042,2021-03-31,BXP,0.054483294
2043,2021-06-30,BXP,0.02881673
2044,2021-09-30,BXP,0.06624204
2045,2020-06-30,AES,-0.17491841
2046,2020-09-30,AES,0.0436877
2047,2020-12-31,AES,-0.03359431
2048,2021-03-31,AES,-0.13806605
2049,2021-06-30,AES,-0.013527513
2050,2021-09-30,AES,-0.044671178
2051,2020-06-30,LKQ,-0.031516433
2052,2020-09-30,LKQ,-0.020867705
2053,2020-12-31,LKQ,0.009988219
2054,2021-03-31,LKQ,0.005331397
2055,2021-06-30,LKQ,0.010669917
2056,2021-09-30,LKQ,0.008970916
2057,2020-06-30,K,0.010916859
2058,2020-09-30,K,-0.002166152
2059,2020-12-31,K,-0.0011307001
2060,2021-03-31,K,0.019204468
2061,2021-06-30,K,0.018593788
2062,2021-09-30,K,0.015672475
2063,2020-05-31,CCL,-0.5960628
2064,2020-08-31,CCL,-0.56639326
2065,2020-11-30,CCL,-0.5786301
2066,2021-02-28,CCL,-0.6346209
2067,2021-05-31,CCL,-0.6165072
